indicator,country,countryiso3code,date,value,unit,obs_status,decimal,Region
"Population, total",Brunei Darussalam,BRN,1988,240913.0,,,0,ASEAN
"Population, total",Brunei Darussalam,BRN,1987,233860.0,,,0,ASEAN
"Population, total",Brunei Darussalam,BRN,1986,226495.0,,,0,ASEAN
"Population, total",Brunei Darussalam,BRN,1985,218919.0,,,0,ASEAN
"Population, total",Brunei Darussalam,BRN,1984,211661.0,,,0,ASEAN
"Population, total",Brunei Darussalam,BRN,1983,204741.0,,,0,ASEAN
"Population, total",Brunei Darussalam,BRN,1982,198165.0,,,0,ASEAN
"Population, total",Brunei Darussalam,BRN,1981,191977.0,,,0,ASEAN
"Population, total",Brunei Darussalam,BRN,1980,186111.0,,,0,ASEAN
"Population, total",Brunei Darussalam,BRN,1979,180422.0,,,0,ASEAN
"Population, total",Brunei Darussalam,BRN,1978,174884.0,,,0,ASEAN
"Population, total",Brunei Darussalam,BRN,1977,169277.0,,,0,ASEAN
"Population, total",Brunei Darussalam,BRN,1976,163607.0,,,0,ASEAN
"Population, total",Brunei Darussalam,BRN,1975,158070.0,,,0,ASEAN
"Population, total",Brunei Darussalam,BRN,1974,152656.0,,,0,ASEAN
"Population, total",Brunei Darussalam,BRN,1973,147369.0,,,0,ASEAN
"Population, total",Brunei Darussalam,BRN,1972,142189.0,,,0,ASEAN
"Population, total",Brunei Darussalam,BRN,1971,137921.0,,,0,ASEAN
"Population, total",Brunei Darussalam,BRN,1970,135138.0,,,0,ASEAN
"Population, total",Brunei Darussalam,BRN,1969,131446.0,,,0,ASEAN
"Population, total",Brunei Darussalam,BRN,1968,126222.0,,,0,ASEAN
"Population, total",Brunei Darussalam,BRN,1967,121017.0,,,0,ASEAN
"Population, total",Brunei Darussalam,BRN,1966,115874.0,,,0,ASEAN
"Population, total",Brunei Darussalam,BRN,1965,110838.0,,,0,ASEAN
"Population, total",Brunei Darussalam,BRN,1964,105922.0,,,0,ASEAN
"Population, total",Brunei Darussalam,BRN,1963,101159.0,,,0,ASEAN
"Population, total",Brunei Darussalam,BRN,1962,96719.0,,,0,ASEAN
"Population, total",Brunei Darussalam,BRN,1961,92517.0,,,0,ASEAN
"Population, total",Brunei Darussalam,BRN,1960,88347.0,,,0,ASEAN
"Population, total",Indonesia,IDN,2024,,,,0,ASEAN
"Population, total",Indonesia,IDN,2023,281190067.0,,,0,ASEAN
"Population, total",Indonesia,IDN,2022,278830529.0,,,0,ASEAN
"Population, total",Indonesia,IDN,2021,276758053.0,,,0,ASEAN
"Population, total",Indonesia,IDN,2020,274814866.0,,,0,ASEAN
"Population, total",Indonesia,IDN,2019,272489381.0,,,0,ASEAN
"Population, total",Indonesia,IDN,2018,269951846.0,,,0,ASEAN
"Population, total",Indonesia,IDN,2017,267346658.0,,,0,ASEAN
"Population, total",Indonesia,IDN,2016,264627418.0,,,0,ASEAN
"Population, total",Indonesia,IDN,2015,261799249.0,,,0,ASEAN
"Population, total",Indonesia,IDN,2014,258877399.0,,,0,ASEAN
"Population, total",Indonesia,IDN,2013,255852467.0,,,0,ASEAN
"Population, total",Indonesia,IDN,2012,252698525.0,,,0,ASEAN
"Population, total",Indonesia,IDN,2011,249470032.0,,,0,ASEAN
"Population, total",Indonesia,IDN,2010,246305322.0,,,0,ASEAN
"Population, total",Indonesia,IDN,2009,243220028.0,,,0,ASEAN
"Population, total",Indonesia,IDN,2008,240157903.0,,,0,ASEAN
"Population, total",Indonesia,IDN,2007,237062337.0,,,0,ASEAN
"Population, total",Indonesia,IDN,2006,233951652.0,,,0,ASEAN
"Population, total",Indonesia,IDN,2005,230871650.0,,,0,ASEAN
"Population, total",Indonesia,IDN,2004,227926649.0,,,0,ASEAN
"Population, total",Indonesia,IDN,2003,225048008.0,,,0,ASEAN
"Population, total",Indonesia,IDN,2002,222088495.0,,,0,ASEAN
"Population, total",Indonesia,IDN,2001,219097902.0,,,0,ASEAN
"Population, total",Indonesia,IDN,2000,216077790.0,,,0,ASEAN
"Population, total",Indonesia,IDN,1999,213004668.0,,,0,ASEAN
"Population, total",Indonesia,IDN,1998,209826788.0,,,0,ASEAN
"Population, total",Indonesia,IDN,1997,206536095.0,,,0,ASEAN
"Population, total",Indonesia,IDN,1996,203204348.0,,,0,ASEAN
"Population, total",Indonesia,IDN,1995,199888057.0,,,0,ASEAN
"Population, total",Indonesia,IDN,1994,196591828.0,,,0,ASEAN
"Population, total",Indonesia,IDN,1993,193305168.0,,,0,ASEAN
"Population, total",Indonesia,IDN,1992,190043744.0,,,0,ASEAN
"Population, total",Indonesia,IDN,1991,186778238.0,,,0,ASEAN
"Population, total",Indonesia,IDN,1990,183501098.0,,,0,ASEAN
"Population, total",Indonesia,IDN,1989,180201630.0,,,0,ASEAN
"Population, total",Indonesia,IDN,1988,176855065.0,,,0,ASEAN
"Population, total",Indonesia,IDN,1987,173511154.0,,,0,ASEAN
"Population, total",Indonesia,IDN,1986,170175065.0,,,0,ASEAN
"Population, total",Indonesia,IDN,1985,166776185.0,,,0,ASEAN
"Population, total",Indonesia,IDN,1984,163251124.0,,,0,ASEAN
"Population, total",Indonesia,IDN,1983,159651381.0,,,0,ASEAN
"Population, total",Indonesia,IDN,1982,156052152.0,,,0,ASEAN
"Population, total",Indonesia,IDN,1981,152485035.0,,,0,ASEAN
"Population, total",Indonesia,IDN,1980,148950540.0,,,0,ASEAN
"Population, total",Indonesia,IDN,1979,145434834.0,,,0,ASEAN
"Population, total",Indonesia,IDN,1978,141953163.0,,,0,ASEAN
"Population, total",Indonesia,IDN,1977,138533541.0,,,0,ASEAN
"Population, total",Indonesia,IDN,1976,135173655.0,,,0,ASEAN
"Population, total",Indonesia,IDN,1975,131843848.0,,,0,ASEAN
"Population, total",Indonesia,IDN,1974,128555045.0,,,0,ASEAN
"Population, total",Indonesia,IDN,1973,125288515.0,,,0,ASEAN
"Population, total",Indonesia,IDN,1972,122039841.0,,,0,ASEAN
"Population, total",Indonesia,IDN,1971,118833702.0,,,0,ASEAN
"Population, total",Indonesia,IDN,1970,115657495.0,,,0,ASEAN
"Population, total",Indonesia,IDN,1969,112517639.0,,,0,ASEAN
"Population, total",Indonesia,IDN,1968,109450006.0,,,0,ASEAN
"Population, total",Indonesia,IDN,1967,106526393.0,,,0,ASEAN
"Population, total",Indonesia,IDN,1966,103792754.0,,,0,ASEAN
"Population, total",Indonesia,IDN,1965,101365130.0,,,0,ASEAN
"Population, total",Indonesia,IDN,1964,98833749.0,,,0,ASEAN
"Population, total",Indonesia,IDN,1963,96051424.0,,,0,ASEAN
"Population, total",Indonesia,IDN,1962,93375850.0,,,0,ASEAN
"Population, total",Indonesia,IDN,1961,90791249.0,,,0,ASEAN
"Population, total",Indonesia,IDN,1960,88296070.0,,,0,ASEAN
"Population, total",Cambodia,KHM,2024,,,,0,ASEAN
"Population, total",Cambodia,KHM,2023,17423880.0,,,0,ASEAN
"Population, total",Cambodia,KHM,2022,17201724.0,,,0,ASEAN
"Population, total",Cambodia,KHM,2021,16974305.0,,,0,ASEAN
"Population, total",Cambodia,KHM,2020,16725474.0,,,0,ASEAN
"Population, total",Cambodia,KHM,2019,16481304.0,,,0,ASEAN
"Population, total",Cambodia,KHM,2018,16274522.0,,,0,ASEAN
"Population, total",Cambodia,KHM,2017,16073372.0,,,0,ASEAN
"Population, total",Cambodia,KHM,2016,15852803.0,,,0,ASEAN
"Population, total",Cambodia,KHM,2015,15623251.0,,,0,ASEAN
"Population, total",Cambodia,KHM,2014,15396772.0,,,0,ASEAN
"Population, total",Cambodia,KHM,2013,15170208.0,,,0,ASEAN
"Population, total",Cambodia,KHM,2012,14945085.0,,,0,ASEAN
"Population, total",Cambodia,KHM,2011,14722584.0,,,0,ASEAN
"Population, total",Cambodia,KHM,2010,14500726.0,,,0,ASEAN
"Population, total",Cambodia,KHM,2009,14276810.0,,,0,ASEAN
"Population, total",Cambodia,KHM,2008,14053479.0,,,0,ASEAN
"Population, total",Cambodia,KHM,2007,13841770.0,,,0,ASEAN
"Population, total",Cambodia,KHM,2006,13639028.0,,,0,ASEAN
"Population, total",Cambodia,KHM,2005,13439202.0,,,0,ASEAN
"Population, total",Cambodia,KHM,2004,13244731.0,,,0,ASEAN
"Population, total",Cambodia,KHM,2003,13050968.0,,,0,ASEAN
"Population, total",Cambodia,KHM,2002,12855241.0,,,0,ASEAN
"Population, total",Cambodia,KHM,2001,12658484.0,,,0,ASEAN
"Population, total",Cambodia,KHM,2000,12462336.0,,,0,ASEAN
"Population, total",Cambodia,KHM,1999,12265731.0,,,0,ASEAN
"Population, total",Cambodia,KHM,1998,12058173.0,,,0,ASEAN
"Population, total",Cambodia,KHM,1997,11570982.0,,,0,ASEAN
"Population, total",Cambodia,KHM,1996,10801270.0,,,0,ASEAN
"Population, total",Cambodia,KHM,1995,10018497.0,,,0,ASEAN
"Population, total",Cambodia,KHM,1994,9239162.0,,,0,ASEAN
"Population, total",Cambodia,KHM,1993,8616381.0,,,0,ASEAN
"Population, total",Cambodia,KHM,1992,8113083.0,,,0,ASEAN
"Population, total",Cambodia,KHM,1991,7686850.0,,,0,ASEAN
"Population, total",Cambodia,KHM,1990,7374752.0,,,0,ASEAN
"Population, total",Cambodia,KHM,1989,7073473.0,,,0,ASEAN
"Population, total",Cambodia,KHM,1988,6812014.0,,,0,ASEAN
"Population, total",Cambodia,KHM,1987,6557970.0,,,0,ASEAN
"Population, total",Cambodia,KHM,1986,6285693.0,,,0,ASEAN
"Population, total",Cambodia,KHM,1985,6043783.0,,,0,ASEAN
"Population, total",Cambodia,KHM,1984,5845117.0,,,0,ASEAN
"Population, total",Cambodia,KHM,1983,5636203.0,,,0,ASEAN
"Population, total",Cambodia,KHM,1982,5436432.0,,,0,ASEAN
"Population, total",Cambodia,KHM,1981,5284495.0,,,0,ASEAN
"Population, total",Cambodia,KHM,1980,5199872.0,,,0,ASEAN
"Population, total",Cambodia,KHM,1979,5088808.0,,,0,ASEAN
"Population, total",Cambodia,KHM,1978,5211653.0,,,0,ASEAN
"Population, total",Cambodia,KHM,1977,5668551.0,,,0,ASEAN
"Population, total",Cambodia,KHM,1976,6134991.0,,,0,ASEAN
"Population, total",Cambodia,KHM,1975,6581371.0,,,0,ASEAN
"Population, total",Cambodia,KHM,1974,6783240.0,,,0,ASEAN
"Population, total",Cambodia,KHM,1973,6739726.0,,,0,ASEAN
"Population, total",Cambodia,KHM,1972,6673886.0,,,0,ASEAN
"Population, total",Cambodia,KHM,1971,6620880.0,,,0,ASEAN
"Population, total",Cambodia,KHM,1970,6639182.0,,,0,ASEAN
"Population, total",Cambodia,KHM,1969,6604725.0,,,0,ASEAN
"Population, total",Cambodia,KHM,1968,6467324.0,,,0,ASEAN
"Population, total",Cambodia,KHM,1967,6332944.0,,,0,ASEAN
"Population, total",Cambodia,KHM,1966,6201232.0,,,0,ASEAN
"Population, total",Cambodia,KHM,1965,6072289.0,,,0,ASEAN
"Population, total",Cambodia,KHM,1964,5946178.0,,,0,ASEAN
"Population, total",Cambodia,KHM,1963,5823010.0,,,0,ASEAN
"Population, total",Cambodia,KHM,1962,5697558.0,,,0,ASEAN
"Population, total",Cambodia,KHM,1961,5571168.0,,,0,ASEAN
"Population, total",Cambodia,KHM,1960,5449966.0,,,0,ASEAN
"Population, total",Lao PDR,LAO,2024,,,,0,ASEAN
"Population, total",Lao PDR,LAO,2023,7664993.0,,,0,ASEAN
"Population, total",Lao PDR,LAO,2022,7559007.0,,,0,ASEAN
"Population, total",Lao PDR,LAO,2021,7453194.0,,,0,ASEAN
"Population, total",Lao PDR,LAO,2020,7346533.0,,,0,ASEAN
"Population, total",Lao PDR,LAO,2019,7237636.0,,,0,ASEAN
"Population, total",Lao PDR,LAO,2018,7128045.0,,,0,ASEAN
"Population, total",Lao PDR,LAO,2017,7018147.0,,,0,ASEAN
"Population, total",Lao PDR,LAO,2016,6908802.0,,,0,ASEAN
"Population, total",Lao PDR,LAO,2015,6801645.0,,,0,ASEAN
"Population, total",Lao PDR,LAO,2014,6703172.0,,,0,ASEAN
"Population, total",Lao PDR,LAO,2013,6611385.0,,,0,ASEAN
"Population, total",Lao PDR,LAO,2012,6518978.0,,,0,ASEAN
"Population, total",Lao PDR,LAO,2011,6426590.0,,,0,ASEAN
"Population, total",Lao PDR,LAO,2010,6334194.0,,,0,ASEAN
"Population, total",Lao PDR,LAO,2009,6241642.0,,,0,ASEAN
"Population, total",Lao PDR,LAO,2008,6148969.0,,,0,ASEAN
"Population, total",Lao PDR,LAO,2007,6056236.0,,,0,ASEAN
"Population, total",Lao PDR,LAO,2006,5963200.0,,,0,ASEAN
"Population, total",Lao PDR,LAO,2005,5869523.0,,,0,ASEAN
"Population, total",Lao PDR,LAO,2004,5781626.0,,,0,ASEAN
"Population, total",Lao PDR,LAO,2003,5697945.0,,,0,ASEAN
"Population, total",Lao PDR,LAO,2002,5610889.0,,,0,ASEAN
"Population, total",Lao PDR,LAO,2001,5521482.0,,,0,ASEAN
"Population, total",Lao PDR,LAO,2000,5431212.0,,,0,ASEAN
"Population, total",Lao PDR,LAO,1999,5340784.0,,,0,ASEAN
"Population, total",Lao PDR,LAO,1998,5248266.0,,,0,ASEAN
"Population, total",Lao PDR,LAO,1997,5152011.0,,,0,ASEAN
"Population, total",Lao PDR,LAO,1996,5045678.0,,,0,ASEAN
"Population, total",Lao PDR,LAO,1995,4929409.0,,,0,ASEAN
"Population, total",Lao PDR,LAO,1994,4809220.0,,,0,ASEAN
"Population, total",Lao PDR,LAO,1993,4685060.0,,,0,ASEAN
"Population, total",Lao PDR,LAO,1992,4559646.0,,,0,ASEAN
"Population, total",Lao PDR,LAO,1991,4435118.0,,,0,ASEAN
"Population, total",Lao PDR,LAO,1990,4311955.0,,,0,ASEAN
"Population, total",Lao PDR,LAO,1989,4190974.0,,,0,ASEAN
"Population, total",Lao PDR,LAO,1988,4072601.0,,,0,ASEAN
"Population, total",Lao PDR,LAO,1987,3957612.0,,,0,ASEAN
"Population, total",Lao PDR,LAO,1986,3846715.0,,,0,ASEAN
"Population, total",Lao PDR,LAO,1985,3739985.0,,,0,ASEAN
"Population, total",Lao PDR,LAO,1984,3637843.0,,,0,ASEAN
"Population, total",Lao PDR,LAO,1983,3541001.0,,,0,ASEAN
"Population, total",Lao PDR,LAO,1982,3450026.0,,,0,ASEAN
"Population, total",Lao PDR,LAO,1981,3366631.0,,,0,ASEAN
"Population, total",Lao PDR,LAO,1980,3292573.0,,,0,ASEAN
"Population, total",Lao PDR,LAO,1979,3228202.0,,,0,ASEAN
"Population, total",Lao PDR,LAO,1978,3171740.0,,,0,ASEAN
"Population, total",Lao PDR,LAO,1977,3118923.0,,,0,ASEAN
"Population, total",Lao PDR,LAO,1976,3064876.0,,,0,ASEAN
"Population, total",Lao PDR,LAO,1975,3005521.0,,,0,ASEAN
"Population, total",Lao PDR,LAO,1974,2939761.0,,,0,ASEAN
"Population, total",Lao PDR,LAO,1973,2870573.0,,,0,ASEAN
"Population, total",Lao PDR,LAO,1972,2801660.0,,,0,ASEAN
"Population, total",Lao PDR,LAO,1971,2734628.0,,,0,ASEAN
"Population, total",Lao PDR,LAO,1970,2669702.0,,,0,ASEAN
"Population, total",Lao PDR,LAO,1969,2606959.0,,,0,ASEAN
"Population, total",Lao PDR,LAO,1968,2546377.0,,,0,ASEAN
"Population, total",Lao PDR,LAO,1967,2487715.0,,,0,ASEAN
"Population, total",Lao PDR,LAO,1966,2431084.0,,,0,ASEAN
"Population, total",Lao PDR,LAO,1965,2376200.0,,,0,ASEAN
"Population, total",Lao PDR,LAO,1964,2322826.0,,,0,ASEAN
"Population, total",Lao PDR,LAO,1963,2271061.0,,,0,ASEAN
"Population, total",Lao PDR,LAO,1962,2219910.0,,,0,ASEAN
"Population, total",Lao PDR,LAO,1961,2169796.0,,,0,ASEAN
"Population, total",Lao PDR,LAO,1960,2121514.0,,,0,ASEAN
"Population, total",Myanmar,MMR,2024,,,,0,ASEAN
"Population, total",Myanmar,MMR,2023,54133798.0,,,0,ASEAN
"Population, total",Myanmar,MMR,2022,53756787.0,,,0,ASEAN
"Population, total",Myanmar,MMR,2021,53387102.0,,,0,ASEAN
"Population, total",Myanmar,MMR,2020,53016522.0,,,0,ASEAN
"Population, total",Myanmar,MMR,2019,52640713.0,,,0,ASEAN
"Population, total",Myanmar,MMR,2018,52272247.0,,,0,ASEAN
"Population, total",Myanmar,MMR,2017,51894938.0,,,0,ASEAN
"Population, total",Myanmar,MMR,2016,51495696.0,,,0,ASEAN
"Population, total",Myanmar,MMR,2015,51089056.0,,,0,ASEAN
"Population, total",Myanmar,MMR,2014,50681634.0,,,0,ASEAN
"Population, total",Myanmar,MMR,2013,50262658.0,,,0,ASEAN
"Population, total",Myanmar,MMR,2012,49837446.0,,,0,ASEAN
"Population, total",Myanmar,MMR,2011,49419820.0,,,0,ASEAN
"Population, total",Myanmar,MMR,2010,49024382.0,,,0,ASEAN
"Population, total",Myanmar,MMR,2009,48660459.0,,,0,ASEAN
"Population, total",Myanmar,MMR,2008,48390793.0,,,0,ASEAN
"Population, total",Myanmar,MMR,2007,48125043.0,,,0,ASEAN
"Population, total",Myanmar,MMR,2006,47785135.0,,,0,ASEAN
"Population, total",Myanmar,MMR,2005,47438365.0,,,0,ASEAN
"Population, total",Myanmar,MMR,2004,47068772.0,,,0,ASEAN
"Population, total",Myanmar,MMR,2003,46667192.0,,,0,ASEAN
"Population, total",Myanmar,MMR,2002,46232653.0,,,0,ASEAN
"Population, total",Myanmar,MMR,2001,45771139.0,,,0,ASEAN
"Population, total",Myanmar,MMR,2000,45290841.0,,,0,ASEAN
"Population, total",Myanmar,MMR,1999,44787724.0,,,0,ASEAN
"Population, total",Myanmar,MMR,1998,44257793.0,,,0,ASEAN
"Population, total",Myanmar,MMR,1997,43708798.0,,,0,ASEAN
"Population, total",Myanmar,MMR,1996,43154860.0,,,0,ASEAN
"Population, total",Myanmar,MMR,1995,42605338.0,,,0,ASEAN
"Population, total",Myanmar,MMR,1994,42055143.0,,,0,ASEAN
"Population, total",Myanmar,MMR,1993,41502429.0,,,0,ASEAN
"Population, total",Myanmar,MMR,1992,40950342.0,,,0,ASEAN
"Population, total",Myanmar,MMR,1991,40394154.0,,,0,ASEAN
"Population, total",Myanmar,MMR,1990,39817251.0,,,0,ASEAN
"Population, total",Myanmar,MMR,1989,39214618.0,,,0,ASEAN
"Population, total",Myanmar,MMR,1988,38600927.0,,,0,ASEAN
"Population, total",Myanmar,MMR,1987,37971594.0,,,0,ASEAN
"Population, total",Myanmar,MMR,1986,37314878.0,,,0,ASEAN
"Population, total",Myanmar,MMR,1985,36622827.0,,,0,ASEAN
"Population, total",Myanmar,MMR,1984,35899313.0,,,0,ASEAN
"Population, total",Myanmar,MMR,1983,35162715.0,,,0,ASEAN
"Population, total",Myanmar,MMR,1982,34482965.0,,,0,ASEAN
"Population, total",Myanmar,MMR,1981,33858783.0,,,0,ASEAN
"Population, total",Myanmar,MMR,1980,33227204.0,,,0,ASEAN
"Population, total",Myanmar,MMR,1979,32596550.0,,,0,ASEAN
"Population, total",Myanmar,MMR,1978,31972976.0,,,0,ASEAN
"Population, total",Myanmar,MMR,1977,31355966.0,,,0,ASEAN
"Population, total",Myanmar,MMR,1976,30758811.0,,,0,ASEAN
"Population, total",Myanmar,MMR,1975,30176565.0,,,0,ASEAN
"Population, total",Myanmar,MMR,1974,29598167.0,,,0,ASEAN
"Population, total",Myanmar,MMR,1973,29026388.0,,,0,ASEAN
"Population, total",Myanmar,MMR,1972,28428324.0,,,0,ASEAN
"Population, total",Myanmar,MMR,1971,27807219.0,,,0,ASEAN
"Population, total",Myanmar,MMR,1970,27193016.0,,,0,ASEAN
"Population, total",Myanmar,MMR,1969,26585112.0,,,0,ASEAN
"Population, total",Myanmar,MMR,1968,25989662.0,,,0,ASEAN
"Population, total",Myanmar,MMR,1967,25406429.0,,,0,ASEAN
"Population, total",Myanmar,MMR,1966,24836496.0,,,0,ASEAN
"Population, total",Myanmar,MMR,1965,24279431.0,,,0,ASEAN
"Population, total",Myanmar,MMR,1964,23737315.0,,,0,ASEAN
"Population, total",Myanmar,MMR,1963,23213408.0,,,0,ASEAN
"Population, total",Myanmar,MMR,1962,22704719.0,,,0,ASEAN
"Population, total",Myanmar,MMR,1961,22210581.0,,,0,ASEAN
"Population, total",Myanmar,MMR,1960,21730250.0,,,0,ASEAN
"Population, total",Malaysia,MYS,2024,,,,0,ASEAN
"Population, total",Malaysia,MYS,2023,35126298.0,,,0,ASEAN
"Population, total",Malaysia,MYS,2022,34695493.0,,,0,ASEAN
"Population, total",Malaysia,MYS,2021,34282399.0,,,0,ASEAN
"Population, total",Malaysia,MYS,2020,33889558.0,,,0,ASEAN
"Population, total",Malaysia,MYS,2019,33440596.0,,,0,ASEAN
"Population, total",Malaysia,MYS,2018,32910967.0,,,0,ASEAN
"Population, total",Malaysia,MYS,2017,32355644.0,,,0,ASEAN
"Population, total",Malaysia,MYS,2016,31789685.0,,,0,ASEAN
"Population, total",Malaysia,MYS,2015,31232798.0,,,0,ASEAN
"Population, total",Malaysia,MYS,2014,30696137.0,,,0,ASEAN
"Population, total",Malaysia,MYS,2013,30174265.0,,,0,ASEAN
"Population, total",Malaysia,MYS,2012,29662831.0,,,0,ASEAN
"Population, total",Malaysia,MYS,2011,29162039.0,,,0,ASEAN
"Population, total",Malaysia,MYS,2010,28655776.0,,,0,ASEAN
"Population, total",Malaysia,MYS,2009,28124778.0,,,0,ASEAN
"Population, total",Malaysia,MYS,2008,27570059.0,,,0,ASEAN
"Population, total",Malaysia,MYS,2007,26998389.0,,,0,ASEAN
"Population, total",Malaysia,MYS,2006,26417909.0,,,0,ASEAN
"Population, total",Malaysia,MYS,2005,25836071.0,,,0,ASEAN
"Population, total",Malaysia,MYS,2004,25256772.0,,,0,ASEAN
"Population, total",Malaysia,MYS,2003,24679602.0,,,0,ASEAN
"Population, total",Malaysia,MYS,2002,24102477.0,,,0,ASEAN
"Population, total",Malaysia,MYS,2001,23526538.0,,,0,ASEAN
"Population, total",Malaysia,MYS,2000,22967816.0,,,0,ASEAN
"Population, total",Malaysia,MYS,1999,22435531.0,,,0,ASEAN
"Population, total",Malaysia,MYS,1998,21906713.0,,,0,ASEAN
"Population, total",Malaysia,MYS,1997,21375218.0,,,0,ASEAN
"Population, total",Malaysia,MYS,1996,20850087.0,,,0,ASEAN
"Population, total",Malaysia,MYS,1995,20330599.0,,,0,ASEAN
"Population, total",Malaysia,MYS,1994,19820446.0,,,0,ASEAN
"Population, total",Malaysia,MYS,1993,19322664.0,,,0,ASEAN
"Population, total",Malaysia,MYS,1992,18834572.0,,,0,ASEAN
"Population, total",Malaysia,MYS,1991,18342464.0,,,0,ASEAN
"Population, total",Malaysia,MYS,1990,17833171.0,,,0,ASEAN
"Population, total",Malaysia,MYS,1989,17314997.0,,,0,ASEAN
"Population, total",Malaysia,MYS,1988,16796605.0,,,0,ASEAN
"Population, total",Malaysia,MYS,1987,16276737.0,,,0,ASEAN
"Population, total",Malaysia,MYS,1986,15760419.0,,,0,ASEAN
"Population, total",Malaysia,MYS,1985,15252258.0,,,0,ASEAN
"Population, total",Malaysia,MYS,1984,14759009.0,,,0,ASEAN
"Population, total",Malaysia,MYS,1983,14285907.0,,,0,ASEAN
"Population, total",Malaysia,MYS,1982,13832798.0,,,0,ASEAN
"Population, total",Malaysia,MYS,1981,13399203.0,,,0,ASEAN
"Population, total",Malaysia,MYS,1980,12983363.0,,,0,ASEAN
"Population, total",Malaysia,MYS,1979,12627862.0,,,0,ASEAN
"Population, total",Malaysia,MYS,1978,12328157.0,,,0,ASEAN
"Population, total",Malaysia,MYS,1977,12035713.0,,,0,ASEAN
"Population, total",Malaysia,MYS,1976,11750097.0,,,0,ASEAN
"Population, total",Malaysia,MYS,1975,11471914.0,,,0,ASEAN
"Population, total",Malaysia,MYS,1974,11200906.0,,,0,ASEAN
"Population, total",Malaysia,MYS,1973,10935621.0,,,0,ASEAN
"Population, total",Malaysia,MYS,1972,10676835.0,,,0,ASEAN
"Population, total",Malaysia,MYS,1971,10423453.0,,,0,ASEAN
"Population, total",Malaysia,MYS,1970,10178802.0,,,0,ASEAN
"Population, total",Malaysia,MYS,1969,9947597.0,,,0,ASEAN
"Population, total",Malaysia,MYS,1968,9725281.0,,,0,ASEAN
"Population, total",Malaysia,MYS,1967,9507099.0,,,0,ASEAN
"Population, total",Malaysia,MYS,1966,9284688.0,,,0,ASEAN
"Population, total",Malaysia,MYS,1965,9056408.0,,,0,ASEAN
"Population, total",Malaysia,MYS,1964,8828406.0,,,0,ASEAN
"Population, total",Malaysia,MYS,1963,8602160.0,,,0,ASEAN
"Population, total",Malaysia,MYS,1962,8380172.0,,,0,ASEAN
"Population, total",Malaysia,MYS,1961,8164443.0,,,0,ASEAN
"Population, total",Malaysia,MYS,1960,7956197.0,,,0,ASEAN
"Population, total",Philippines,PHL,2024,,,,0,ASEAN
