"","code","year","mobile_money_transactions"
"410","KEN","2017",42.88935705
"411","KEN","2018",42.65780557
"412","KEN","2019",42.44849855
"413","KEN","2020",48.6562245
"414","KEN","2021",57.1081063
"415","KEN","2022",59.16089806
"416","KEN","2023",52.46860336
"417","PHL","2016",6.318267577
"418","PHL","2017",5.814819301
"419","PHL","2018",6.046238788
"420","PHL","2019",9.908481551
"421","PHL","2020",25.280566
"422","PHL","2021",58.92976956
"423","PHL","2022",86.49603526
"424","PHL","2023",89.90778398
"425","QAT","2016",0.448594411
"426","QAT","2017",0.093110377
"427","QAT","2018",0.173075393
"428","QAT","2019",0.205298696
"429","QAT","2020",NA
"430","QAT","2021",0.502121202
"431","QAT","2022",NA
"432","QAT","2023",NA
"433","LBR","2016",NA
"434","LBR","2017",0.602989722
"435","LBR","2018",1.236818542
"436","LBR","2019",2.470179734
"437","LBR","2020",15.58502235
"438","LBR","2021",11.98389028
"439","LBR","2022",13.72140842
"440","LBR","2023",13.4810711
"441","PHL","2016",956104.3521
"442","PHL","2017",962739.3428
"443","PHL","2018",1104357.018
"444","PHL","2019",1933923.872
"445","PHL","2020",4538259.405
"446","PHL","2021",11438630.39
"447","PHL","2022",19053585.67
"448","PHL","2023",21864324.6
"449","COD","2016",NA
"450","COD","2017",NA
"451","COD","2018",12.92064443
"452","COD","2019",14.14532576
"453","COD","2020",22.22078823
"454","COD","2021",NA
"455","COD","2022",NA
"456","COD","2023",NA
"457","MLI","2016",2192900
"458","MLI","2017",2712549
"459","MLI","2018",3233764
"460","MLI","2019",3778484
"461","MLI","2020",3778484
"462","MLI","2021",6904193
"463","MLI","2022",12043715
"464","MLI","2023",15807901
"465","JOR","2016",0.000699061
"466","JOR","2017",0.021867386
"467","JOR","2018",0.246491271
"468","JOR","2019",0.509542045
"469","JOR","2020",3.489252939
"470","JOR","2021",6.425273203
"471","JOR","2022",3.001977099
"472","JOR","2023",8.615807439
"473","WSM","2016",1.003500396
"474","WSM","2017",1.00342371
"475","WSM","2018",0.937582144
"476","WSM","2019",0.971302824
"477","WSM","2020",0.978571799
"478","WSM","2021",1.135539487
"479","WSM","2022",2.053390267
"480","WSM","2023",1.480459716
"481","MAR","2016",NA
"482","MAR","2017",NA
"483","MAR","2018",NA
"484","MAR","2019",NA
"485","MAR","2020",0.038639496
"486","MAR","2021",0.087593932
"487","MAR","2022",0.130768323
"488","MAR","2023",0.148227298
"489","RWA","2016",15.19946486
"490","RWA","2017",17.99640529
"491","RWA","2018",21.796767
"492","RWA","2019",25.24577638
"493","RWA","2020",74.77767209
"494","RWA","2021",95.39231292
"495","RWA","2022",106.4370702
"496","RWA","2023",127.0381429
"497","CIV","2016",4923380
"498","CIV","2017",6533677
"499","CIV","2018",9703362
"500","CIV","2019",10775014
"501","CIV","2020",13936869
"502","CIV","2021",21502942
"503","CIV","2022",32248058
"504","CIV","2023",NA
"505","BGD","2016",11.2890268
"506","BGD","2017",13.53771291
"507","BGD","2018",14.35922762
"508","BGD","2019",14.71553183
"509","BGD","2020",17.70702715
"510","BGD","2021",25.07205447
"511","BGD","2022",27.09142138
"512","BGD","2023",30.12591397
"513","GIN","2016",6414621
"514","GIN","2017",18470658
"515","GIN","2018",45781799
"516","GIN","2019",48085650
"517","GIN","2020",107172789
"518","GIN","2021",156850197
"519","GIN","2022",182040566
"520","GIN","2023",211204627
"521","GNB","2016",592
"522","GNB","2017",3130
"523","GNB","2018",14918
"524","GNB","2019",52190
"525","GNB","2020",146456
"526","GNB","2021",283877
"527","GNB","2022",221544
"528","GNB","2023",559367
"529","QAT","2016",2477.61
"530","QAT","2017",546
"531","QAT","2018",1155
"532","QAT","2019",1318
"533","QAT","2020",NA
"534","QAT","2021",3285
"535","QAT","2022",NA
"536","QAT","2023",NA
"537","COM","2016",NA
"538","COM","2017",NA
"539","COM","2018",NA
"540","COM","2019",NA
"541","COM","2020",NA
"542","COM","2021",NA
"543","COM","2022",NA
"544","COM","2023",NA
"545","ARM","2016",NA
"546","ARM","2017",NA
"547","ARM","2018",NA
"548","ARM","2019",NA
"549","ARM","2020",NA
"550","ARM","2021",NA
"551","ARM","2022",NA
"552","ARM","2023",NA
"553","GIN","2016",8.321177188
"554","GIN","2017",19.68442233
"555","GIN","2018",42.84868179
"556","GIN","2019",38.94913007
"557","GIN","2020",79.02889022
"558","GIN","2021",99.83803028
"559","GIN","2022",99.71033399
"560","GIN","2023",100.6151634
"561","AFG","2016",9174.785515
"562","AFG","2017",14381.00262
"563","AFG","2018",16399
"564","AFG","2019",2570
"565","AFG","2020",NA
"566","AFG","2021",NA
"567","AFG","2022",NA
"568","AFG","2023",NA
"569","IDN","2016",0.056957294
"570","IDN","2017",0.09106422
"571","IDN","2018",0.318076637
"572","IDN","2019",0.916873686
"573","IDN","2020",1.326843771
"574","IDN","2021",1.799141787
"575","IDN","2022",2.080520579
"576","IDN","2023",2.190890967
"577","UGA","2016",43828404.5
"578","UGA","2017",56518191.05
"579","UGA","2018",71400747.88
"580","UGA","2019",73091852.19
"581","UGA","2020",93728611.51
"582","UGA","2021",138920750.7
"583","UGA","2022",NA
"584","UGA","2023",NA
"585","MOZ","2016",7560.082424
"586","MOZ","2017",147626.7329
"587","MOZ","2018",144128.5506
"588","MOZ","2019",368145.9002
"589","MOZ","2020",534915.8505
"590","MOZ","2021",705758.9367
"591","MOZ","2022",842749.31
"592","MOZ","2023",1184254.434
"593","TON","2016",34
"594","TON","2017",37
"595","TON","2018",55
"596","TON","2019",NA
"597","TON","2020",NA
"598","TON","2021",NA
"599","TON","2022",NA
"600","TON","2023",NA
"601","GEO","2016",NA
"602","GEO","2017",NA
"603","GEO","2018",NA
"604","GEO","2019",NA
"605","GEO","2020",NA
"606","GEO","2021",NA
"607","GEO","2022",NA
"608","GEO","2023",NA
"609","LSO","2016",13.54233522
"610","LSO","2017",19.33035203
"611","LSO","2018",23.86992002
"612","LSO","2019",30.85529119
"613","LSO","2020",39.6140226
"614","LSO","2021",38.14272799
"615","LSO","2022",64.04206443
"616","LSO","2023",76.61473271
"617","GRC","2016",NA
"618","GRC","2017",NA
"619","GRC","2018",NA
"620","GRC","2019",NA
"621","GRC","2020",NA
"622","GRC","2021",NA
"623","GRC","2022",NA
"624","GRC","2023",NA
"625","ZAF","2016",0.025821744
"626","ZAF","2017",NA
"627","ZAF","2018",NA
"628","ZAF","2019",NA
"629","ZAF","2020",0.000431037
"630","ZAF","2021",0.014287379
"631","ZAF","2022",0.025834319
"632","ZAF","2023",0.102310946
"633","NER","2016",3.497308851
"634","NER","2017",3.462666211
"635","NER","2018",2.754824151
"636","NER","2019",2.648377773
"637","NER","2020",2.249435305
"638","NER","2021",4.182181859
"639","NER","2022",2.132000339
"640","NER","2023",2.184189375
"641","MMR","2016",1.858281211
"642","MMR","2017",2.240644279
"643","MMR","2018",0.588037066
"644","MMR","2019",3.225940947
"645","MMR","2020",NA
"646","MMR","2021",NA
"647","MMR","2022",NA
"648","MMR","2023",NA
"649","AFG","2016",0.750237866
"650","AFG","2017",1.118743405
"651","AFG","2018",1.235152417
"652","AFG","2019",0.174877958
"653","AFG","2020",NA
"654","AFG","2021",NA
"655","AFG","2022",NA
"656","AFG","2023",NA
"657","TCD","2016",0.04769385
"658","TCD","2017",1.342823018
"659","TCD","2018",NA
"660","TCD","2019",NA
"661","TCD","2020",0.002967103
"662","TCD","2021",NA
"663","TCD","2022",0.035838962
"664","TCD","2023",NA
"665","CMR","2016",870011
"666","CMR","2017",3447833
"667","CMR","2018",6469562.597
"668","CMR","2019",9271416
"669","CMR","2020",12544029.61
"670","CMR","2021",NA
"671","CMR","2022",NA
"672","CMR","2023",NA
"673","JOR","2016",0.198
"674","JOR","2017",6.460061
"675","JOR","2018",75.902824
"676","JOR","2019",161
"677","JOR","2020",1082.62
"678","JOR","2021",2112.002151
"679","JOR","2022",1037
"680","JOR","2023",3108.38396
"681","GHA","2016",35.7517451
"682","GHA","2017",59.30214846
"683","GHA","2018",72.33193355
"684","GHA","2019",86.76405144
"685","GHA","2020",143.9390837
"686","GHA","2021",179.5557922
"687","GHA","2022",174.5461049
"688","GHA","2023",228.1129848
"689","ZAF","2016",1229
"690","ZAF","2017",NA
"691","ZAF","2018",NA
"692","ZAF","2019",NA
"693","ZAF","2020",24
"694","ZAF","2021",887.072763
"695","ZAF","2022",1712.440892
"696","ZAF","2023",7131.239401
"697","MDG","2016",4804222
"698","MDG","2017",7330802.284
"699","MDG","2018",1236173.459
"700","MDG","2019",21158544
"701","MDG","2020",24516015
"702","MDG","2021",33054905.79
"703","MDG","2022",45022415.63
"704","MDG","2023",NA
"705","UGA","2016",43.58930519
"706","UGA","2017",52.08183871
"707","UGA","2018",59.26121904
"708","UGA","2019",55.33498131
"709","UGA","2020",67.0980401
"710","UGA","2021",93.66901674
"711","UGA","2022",NA
"712","UGA","2023",NA
"713","PAK","2016",2169541
"714","PAK","2017",2804008
"715","PAK","2018",3659074.172
"716","PAK","2019",4504780.091
"717","PAK","2020",6785763.876
"718","PAK","2021",8971352.491
"719","PAK","2022",12601738.67
"720","PAK","2023",18182312.23
"721","BWA","2016",4092.175341
"722","BWA","2017",5670
"723","BWA","2018",9866.469554
"724","BWA","2019",12716.04528
"725","BWA","2020",18773.28804
"726","BWA","2021",29550.22764
"727","BWA","2022",34777.01981
"728","BWA","2023",40593.91883
"729","MWI","2016",5.349332683
"730","MWI","2017",7.982056656
"731","MWI","2018",13.16836513
"732","MWI","2019",20.35291872
"733","MWI","2020",27.89046837
"734","MWI","2021",NA
"735","MWI","2022",54.02996994
"736","MWI","2023",NA
"737","GHA","2016",78508.9
"738","GHA","2017",155844.84
"739","GHA","2018",223207.23
"740","GHA","2019",309352.25
"741","GHA","2020",564155.9
"742","GHA","2021",829000
"743","GHA","2022",1072300
"744","GHA","2023",1919874
"745","PLW","2016",NA
"746","PLW","2017",NA
"747","PLW","2018",NA
"748","PLW","2019",NA
"749","PLW","2020",NA
"750","PLW","2021",NA
"751","PLW","2022",NA
"752","PLW","2023",NA
"753","EST","2016",NA
"754","EST","2017",NA
"755","EST","2018",NA
"756","EST","2019",NA
"757","EST","2020",NA
"758","EST","2021",NA
"759","EST","2022",NA
"760","EST","2023",NA
"761","EST","2016",NA
"762","EST","2017",NA
"763","EST","2018",NA
"764","EST","2019",NA
"765","EST","2020",NA
"766","EST","2021",NA
"767","EST","2022",NA
"768","EST","2023",NA
"769","DNK","2016",NA
"770","DNK","2017",NA
"771","DNK","2018",NA
"772","DNK","2019",NA
"773","DNK","2020",NA
"774","DNK","2021",NA
"775","DNK","2022",NA
"776","DNK","2023",NA
"777","DNK","2016",NA
"778","DNK","2017",NA
"779","DNK","2018",NA
"780","DNK","2019",NA
"781","DNK","2020",NA
"782","DNK","2021",NA
"783","DNK","2022",NA
"784","DNK","2023",NA
"785","ISL","2016",NA
"786","ISL","2017",NA
"787","ISL","2018",NA
"788","ISL","2019",NA
"789","ISL","2020",NA
"790","ISL","2021",NA
"791","ISL","2022",NA
"792","ISL","2023",NA
"793","PLW","2016",NA
"794","PLW","2017",NA
"795","PLW","2018",NA
"796","PLW","2019",NA
"797","PLW","2020",NA
"798","PLW","2021",NA
"799","PLW","2022",NA
"800","PLW","2023",NA
"801","ISL","2016",NA
"802","ISL","2017",NA
"803","ISL","2018",NA
"804","ISL","2019",NA
"805","ISL","2020",NA
"806","ISL","2021",NA
"807","ISL","2022",NA
"808","ISL","2023",NA
"809","FRA","2016",NA
"810","FRA","2017",NA
"811","FRA","2018",NA
"812","FRA","2019",NA
"813","FRA","2020",NA
"814","FRA","2021",NA
"815","FRA","2022",NA
"816","FRA","2023",NA
"817","FRA","2016",NA
"818","FRA","2017",NA
"819","FRA","2018",NA
"820","FRA","2019",NA
