country,date,indicator,countryiso3code,value,unit,obs_status,decimal,Region
Pakistan,2005,"Mortality rate, infant (per 1,000 live births)",PAK,80.4,,,0,South Asia
Pakistan,2004,"Mortality rate, infant (per 1,000 live births)",PAK,81.8,,,0,South Asia
Pakistan,2003,"Mortality rate, infant (per 1,000 live births)",PAK,83.4,,,0,South Asia
Pakistan,2002,"Mortality rate, infant (per 1,000 live births)",PAK,85.0,,,0,South Asia
Pakistan,2001,"Mortality rate, infant (per 1,000 live births)",PAK,87.0,,,0,South Asia
Pakistan,2000,"Mortality rate, infant (per 1,000 live births)",PAK,89.1,,,0,South Asia
Pakistan,1999,"Mortality rate, infant (per 1,000 live births)",PAK,91.4,,,0,South Asia
Pakistan,1998,"Mortality rate, infant (per 1,000 live births)",PAK,93.9,,,0,South Asia
Pakistan,1997,"Mortality rate, infant (per 1,000 live births)",PAK,96.4,,,0,South Asia
Pakistan,1996,"Mortality rate, infant (per 1,000 live births)",PAK,99.1,,,0,South Asia
Pakistan,1995,"Mortality rate, infant (per 1,000 live births)",PAK,101.7,,,0,South Asia
Pakistan,1994,"Mortality rate, infant (per 1,000 live births)",PAK,104.2,,,0,South Asia
Pakistan,1993,"Mortality rate, infant (per 1,000 live births)",PAK,106.5,,,0,South Asia
Pakistan,1992,"Mortality rate, infant (per 1,000 live births)",PAK,108.7,,,0,South Asia
Pakistan,1991,"Mortality rate, infant (per 1,000 live births)",PAK,110.8,,,0,South Asia
Pakistan,1990,"Mortality rate, infant (per 1,000 live births)",PAK,112.7,,,0,South Asia
Pakistan,1989,"Mortality rate, infant (per 1,000 live births)",PAK,114.5,,,0,South Asia
Pakistan,1988,"Mortality rate, infant (per 1,000 live births)",PAK,116.3,,,0,South Asia
Pakistan,1987,"Mortality rate, infant (per 1,000 live births)",PAK,118.0,,,0,South Asia
Pakistan,1986,"Mortality rate, infant (per 1,000 live births)",PAK,119.6,,,0,South Asia
Pakistan,1985,"Mortality rate, infant (per 1,000 live births)",PAK,121.2,,,0,South Asia
