,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
335,Naga Mani Mizo Tripura,1908,26.4,15.0,4.3,141.1,252.1,360.0,531.5,371.9,317.8,192.6,106.5,0.0,2319.3,41.4,397.5,1581.3,299.1
336,Naga Mani Mizo Tripura,1909,6.0,4.7,3.1,201.8,235.1,415.3,348.9,540.0,245.8,167.7,71.4,69.0,2308.7,10.7,439.9,1549.9,308.1
337,Naga Mani Mizo Tripura,1910,26.0,10.9,30.7,138.4,228.0,444.8,405.0,439.8,336.2,196.0,12.3,0.0,2267.9,36.9,397.0,1625.8,208.3
338,Naga Mani Mizo Tripura,1911,47.3,11.9,102.2,141.3,331.3,444.9,471.5,397.9,287.8,226.0,17.4,0.3,2479.8,59.1,574.9,1602.0,243.7
339,Naga Mani Mizo Tripura,1912,1.0,36.7,127.8,305.9,222.5,344.7,392.6,394.8,262.8,179.1,34.9,6.1,2308.8,37.7,656.2,1394.9,220.0
340,Naga Mani Mizo Tripura,1913,4.3,63.4,109.9,138.1,264.1,559.1,509.2,426.7,222.1,202.9,83.6,29.7,2613.2,67.7,512.2,1717.1,316.2
341,Naga Mani Mizo Tripura,1914,5.0,93.3,129.7,255.9,276.5,342.6,437.4,501.5,262.0,106.0,13.8,105.4,2529.2,98.4,662.1,1543.5,225.2
342,Naga Mani Mizo Tripura,1915,13.9,35.5,89.4,198.9,448.9,465.2,478.0,510.5,310.4,231.1,37.7,0.4,2819.9,49.4,737.2,1764.1,269.2
343,Naga Mani Mizo Tripura,1916,13.2,17.5,37.3,212.5,131.8,363.8,491.4,419.3,388.5,417.5,55.0,7.1,2555.0,30.7,381.6,1663.1,479.6
344,Naga Mani Mizo Tripura,1917,1.3,81.8,25.6,289.1,121.7,356.6,387.3,375.8,371.7,147.9,63.3,0.1,2222.2,83.1,436.4,1491.4,211.3
345,Naga Mani Mizo Tripura,1918,3.8,6.1,138.6,224.8,361.9,573.8,638.5,569.3,363.9,75.7,52.3,4.5,3013.3,9.9,725.3,2145.5,132.5
346,Naga Mani Mizo Tripura,1919,17.5,18.1,17.3,151.1,132.7,358.4,403.5,372.9,375.0,111.1,84.8,5.7,2047.9,35.6,301.0,1509.7,201.6
347,Naga Mani Mizo Tripura,1920,5.1,56.8,272.7,143.7,167.9,363.3,443.6,449.6,326.2,137.0,7.1,2.7,2375.8,61.9,584.3,1582.7,146.9
348,Naga Mani Mizo Tripura,1921,46.9,24.1,179.2,178.2,271.3,443.8,387.8,382.4,430.7,286.7,4.7,2.4,2638.2,70.9,628.8,1644.7,293.8
349,Naga Mani Mizo Tripura,1922,8.5,4.5,17.3,119.3,182.1,569.1,479.6,536.6,330.9,170.8,38.2,5.8,2462.6,13.0,318.7,1916.2,214.8
350,Naga Mani Mizo Tripura,1923,0.0,64.9,13.5,216.2,296.1,506.2,411.9,488.5,374.9,210.9,93.7,8.7,2685.5,64.9,525.8,1781.5,313.3
351,Naga Mani Mizo Tripura,1924,3.7,45.2,14.1,170.9,295.1,478.6,462.7,482.2,356.2,179.2,213.7,0.1,2701.7,48.8,480.1,1779.7,393.0
352,Naga Mani Mizo Tripura,1925,43.0,36.4,35.0,195.6,385.5,362.4,461.4,440.3,280.1,170.7,37.0,0.0,2447.5,79.4,616.2,1544.3,207.7
353,Naga Mani Mizo Tripura,1926,24.0,70.1,155.5,177.1,229.7,361.1,477.6,441.7,287.3,155.6,36.4,47.1,2463.2,94.1,562.3,1567.7,239.1
354,Naga Mani Mizo Tripura,1927,41.4,103.5,56.3,360.4,245.2,363.8,498.4,456.6,533.9,178.4,48.6,0.8,2887.5,145.0,662.0,1852.7,227.9
355,Naga Mani Mizo Tripura,1928,4.3,28.5,52.3,65.3,309.0,463.2,397.7,468.3,392.8,272.5,18.4,0.1,2472.4,32.8,426.7,1722.0,291.0
