"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"IMF.STA:FAS(4.0.0)","COM.FA63N.PTADLT_NUM.A","OBS_VALUE","Comoros, Union of the","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","","","","","140.2881686353016","145.0485367988581","171.5621420002854","272.7519577912833",""
"IMF.STA:FAS(4.0.0)","COG.FA63N.PTADLT_NUM.A","OBS_VALUE","Congo, Republic of","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","32.10666989916859","96.44874702301121","292.5897731088254","607.5859393196521","1288.954072919523","241.7683126532293","4.395763632876596","",""
"IMF.STA:FAS(4.0.0)","NER.FA63N.PTADLT_NUM.A","OBS_VALUE","Niger","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","26.91776936500011","29.1993951347465","26.15831861189885","13.93957804823331","22.00431645329248","38.16881215478391","31.74071924486368","21.19680058309477",""
"IMF.STA:FAS(4.0.0)","AFG.FA63N.PTADLT_NUM.A","OBS_VALUE","Afghanistan, Islamic Republic of","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","2.12209888786074","2.24171426002369","2.40663016186267","2.53119105575762","","","","",""
"IMF.STA:FAS(4.0.0)","MWI.FA63N.PTADLT_NUM.A","OBS_VALUE","Malawi","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","133.923046764143","152.729175651057","242.475234380533","356.232874027808","502.52161769816","","602.694997306249","",""
"IMF.STA:FAS(4.0.0)","GEO.FA63N.PTADLT_NUM.A","OBS_VALUE","Georgia","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","EST.FA63N.PTADLT_NUM.A","OBS_VALUE","Estonia, Republic of","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","DNK.FA63N.PTADLT_NUM.A","OBS_VALUE","Denmark","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","PLW.FA63N.PTADLT_NUM.A","OBS_VALUE","Palau, Republic of","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","ISL.FA63N.PTADLT_NUM.A","OBS_VALUE","Iceland","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","FRA.FA63N.PTADLT_NUM.A","OBS_VALUE","France","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","WBG.FA63N.PTADLT_NUM.A","OBS_VALUE","West Bank and Gaza","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","","","","","","78.12899997964026","","",""
"IMF.STA:FAS(4.0.0)","GNQ.FA63N.PTADLT_NUM.A","OBS_VALUE","Equatorial Guinea, Republic of","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","ABW.FA63N.PTADLT_NUM.A","OBS_VALUE","Aruba, Kingdom of the Netherlands","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","YEM.FA63N.PTADLT_NUM.A","OBS_VALUE","Yemen, Republic of","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","BIH.FA63N.PTADLT_NUM.A","OBS_VALUE","Bosnia and Herzegovina","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","ITA.FA63N.PTADLT_NUM.A","OBS_VALUE","Italy","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","MDA.FA63N.PTADLT_NUM.A","OBS_VALUE","Moldova, Republic of","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","POL.FA63N.PTADLT_NUM.A","OBS_VALUE","Poland, Republic of","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","MUS.FA63N.PTADLT_NUM.A","OBS_VALUE","Mauritius","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","113.4753227876664","67.44736630260095","129.6037754210302","120.7062950721729","145.9299419753145","136.7770415243761","144.7496808251887","196.0492176612547",""
"IMF.STA:FAS(4.0.0)","ESP.FA63N.PTADLT_NUM.A","OBS_VALUE","Spain","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","KAZ.FA63N.PTADLT_NUM.A","OBS_VALUE","Kazakhstan, Republic of","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","RUS.FA63N.PTADLT_NUM.A","OBS_VALUE","Russian Federation","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","AUT.FA63N.PTADLT_NUM.A","OBS_VALUE","Austria","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","FIN.FA63N.PTADLT_NUM.A","OBS_VALUE","Finland","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","IRN.FA63N.PTADLT_NUM.A","OBS_VALUE","Iran, Islamic Republic of","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","ALB.FA63N.PTADLT_NUM.A","OBS_VALUE","Albania","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","113.5311060638743","","2.467695904129699","3.570610892635889","5.839913061526857","8.317338451695457","31.37705619044593","66.28056265330378",""
"IMF.STA:FAS(4.0.0)","BLZ.FA63N.PTADLT_NUM.A","OBS_VALUE","Belize","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","SVK.FA63N.PTADLT_NUM.A","OBS_VALUE","Slovak Republic","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","IRL.FA63N.PTADLT_NUM.A","OBS_VALUE","Ireland","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","SYC.FA63N.PTADLT_NUM.A","OBS_VALUE","Seychelles","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","","","4.638994524907625","3.940899861066581","3.995713208346013","3.605375286791216","1.71555567108119","",""
"IMF.STA:FAS(4.0.0)","UKR.FA63N.PTADLT_NUM.A","OBS_VALUE","Ukraine","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","UZB.FA63N.PTADLT_NUM.A","OBS_VALUE","Uzbekistan, Republic of","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","LUX.FA63N.PTADLT_NUM.A","OBS_VALUE","Luxembourg","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","KNA.FA63N.PTADLT_NUM.A","OBS_VALUE","St. Kitts and Nevis","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","LBN.FA63N.PTADLT_NUM.A","OBS_VALUE","Lebanon","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","GBR.FA63N.PTADLT_NUM.A","OBS_VALUE","United Kingdom","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","GTM.FA63N.PTADLT_NUM.A","OBS_VALUE","Guatemala","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","137.4657369975267","155.0499871079152","175.2515848490117","198.6166871245178","227.3133406037411","264.0687506497506","318.7502817488686","1647.27700939566",""
"IMF.STA:FAS(4.0.0)","DOM.FA63N.PTADLT_NUM.A","OBS_VALUE","Dominican Republic","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","NZL.FA63N.PTADLT_NUM.A","OBS_VALUE","New Zealand","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","CHN.FA63N.PTADLT_NUM.A","OBS_VALUE","China, People's Republic of","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","KOS.FA63N.PTADLT_NUM.A","OBS_VALUE","Kosovo, Republic of","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","BRN.FA63N.PTADLT_NUM.A","OBS_VALUE","Brunei Darussalam","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","MNE.FA63N.PTADLT_NUM.A","OBS_VALUE","Montenegro","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","SVN.FA63N.PTADLT_NUM.A","OBS_VALUE","Slovenia, Republic of","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","MSR.FA63N.PTADLT_NUM.A","OBS_VALUE","Montserrat, United Kingdom-British Overseas Territory","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","KWT.FA63N.PTADLT_NUM.A","OBS_VALUE","Kuwait","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","MAC.FA63N.PTADLT_NUM.A","OBS_VALUE","Macao Special Administrative Region, People's Republic of China","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","KGZ.FA63N.PTADLT_NUM.A","OBS_VALUE","Kyrgyz Republic","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","SGP.FA63N.PTADLT_NUM.A","OBS_VALUE","Singapore","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","ATG.FA63N.PTADLT_NUM.A","OBS_VALUE","Antigua and Barbuda","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","PER.FA63N.PTADLT_NUM.A","OBS_VALUE","Peru","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","VCT.FA63N.PTADLT_NUM.A","OBS_VALUE","St. Vincent and the Grenadines","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","AIA.FA63N.PTADLT_NUM.A","OBS_VALUE","Anguilla, United Kingdom-British Overseas Territory","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","GRD.FA63N.PTADLT_NUM.A","OBS_VALUE","Grenada","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","LCA.FA63N.PTADLT_NUM.A","OBS_VALUE","St. Lucia","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","","","","","","","","",""
