"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","2016","2017","2018","2019","2020","2021","2022","2023"
"IMF.STA:FAS(4.0.0)","MAR.FA65.XDC.A","OBS_VALUE","Morocco","Value of mobile money transactions (during the reference year)","Domestic currency","Annual","Millions","","","","","445.31130507","1116.583499699","1739.4253154076","2119.41504279"
"IMF.STA:FAS(4.0.0)","TGO.FA65.POGDP.A","OBS_VALUE","Togo","Value of mobile money transactions (during the reference year)","Percent of GDP","Annual","Units","7.313393425444923","10.63242470813449","15.56805142915685","22.22706304459252","34.94990022303087","41.99866840465799","56.7169369224399","63.65012825790355"
"IMF.STA:FAS(4.0.0)","SEN.FA65.XDC.A","OBS_VALUE","Senegal","Value of mobile money transactions (during the reference year)","Domestic currency","Annual","Millions","571147.0","1261602.0","2718914.0","4658124.0","9179978.0","1.7395223E7","2.6802459E7","3.8967232E7"
"IMF.STA:FAS(4.0.0)","ZWE.FA65.XDC.A","OBS_VALUE","Zimbabwe","Value of mobile money transactions (during the reference year)","Domestic currency","Annual","Millions","5816.0","18021.0","44142.0","114865.0","345441.0","649515.07","1756810.89","1866524.0"
"IMF.STA:FAS(4.0.0)","FJI.FA65.POGDP.A","OBS_VALUE","Fiji, Republic of","Value of mobile money transactions (during the reference year)","Percent of GDP","Annual","Units","0.375703276833629","0.644919224047939","2.52348480273336","0.802187963448263","1.98075871224233","","16.1733472207831",""
"IMF.STA:FAS(4.0.0)","KEN.FA65.POGDP.A","OBS_VALUE","Kenya","Value of mobile money transactions (during the reference year)","Percent of GDP","Annual","Units","44.18684119596569","42.88935704522104","42.65780557320011","42.44849855194517","48.65622449624034","57.10810629696777","59.16089806213786","52.46860336278257"
"IMF.STA:FAS(4.0.0)","PHL.FA65.POGDP.A","OBS_VALUE","Philippines","Value of mobile money transactions (during the reference year)","Percent of GDP","Annual","Units","6.31826757702342","5.814819301438256","6.046238787830315","9.908481550914521","25.28056600134213","58.92976955532865","86.49603526407509","89.90778398295254"
"IMF.STA:FAS(4.0.0)","QAT.FA65.POGDP.A","OBS_VALUE","Qatar","Value of mobile money transactions (during the reference year)","Percent of GDP","Annual","Units","0.4485944112394304","0.09311037697042561","0.1730753932616201","0.2052986956580708","","0.5021212023832892","",""
"IMF.STA:FAS(4.0.0)","LBR.FA65.POGDP.A","OBS_VALUE","Liberia","Value of mobile money transactions (during the reference year)","Percent of GDP","Annual","Units","","0.6029897218376576","1.236818541602805","2.470179734193599","15.58502235147233","11.98389028117087","13.72140842134571","13.48107109879963"
"IMF.STA:FAS(4.0.0)","PHL.FA65.XDC.A","OBS_VALUE","Philippines","Value of mobile money transactions (during the reference year)","Domestic currency","Annual","Millions","956104.35205051","962739.34284607","1104357.0180502","1933923.87153036","4538259.40464334","1.14386303859909E7","1.90535856691249E7","2.18643246043565E7"
"IMF.STA:FAS(4.0.0)","COD.FA65.POGDP.A","OBS_VALUE","Congo, Democratic Republic of the","Value of mobile money transactions (during the reference year)","Percent of GDP","Annual","Units","","","12.9206444301828","14.1453257640485","22.2207882272866","","",""
"IMF.STA:FAS(4.0.0)","MLI.FA65.XDC.A","OBS_VALUE","Mali","Value of mobile money transactions (during the reference year)","Domestic currency","Annual","Millions","2192900.0","2712549.0","3233764.0","3778484.0","3778484.0","6904193.0","1.2043715E7","1.5807901E7"
"IMF.STA:FAS(4.0.0)","JOR.FA65.POGDP.A","OBS_VALUE","Jordan","Value of mobile money transactions (during the reference year)","Percent of GDP","Annual","Units","6.990609313264678E-4","0.021867386419591","0.2464912712813141","0.5095420451308669","3.489252938511642","6.425273203375866","3.001977098643326","8.615807438922904"
"IMF.STA:FAS(4.0.0)","WSM.FA65.POGDP.A","OBS_VALUE","Samoa","Value of mobile money transactions (during the reference year)","Percent of GDP","Annual","Units","1.003500396163913","1.003423710403529","0.9375821443408975","0.9713028235603631","0.978571798797038","1.135539486582196","2.053390266583619","1.480459715675673"
"IMF.STA:FAS(4.0.0)","MAR.FA65.POGDP.A","OBS_VALUE","Morocco","Value of mobile money transactions (during the reference year)","Percent of GDP","Annual","Units","","","","","0.03863949606543124","0.08759393185356551","0.1307683234177895","0.1482272983685428"
"IMF.STA:FAS(4.0.0)","RWA.FA65.POGDP.A","OBS_VALUE","Rwanda","Value of mobile money transactions (during the reference year)","Percent of GDP","Annual","Units","15.19946486426","17.99640528727798","21.79676700283343","25.24577637658837","74.77767209012224","95.392312918001","106.4370701771483","127.038142862375"
