indicator,country,countryiso3code,date,value,unit,obs_status,decimal
"Life expectancy at birth, total (years)",Lao PDR,LAO,2019,67.911,,,0
"Life expectancy at birth, total (years)",Lao PDR,LAO,2018,67.594,,,0
"Life expectancy at birth, total (years)",Lao PDR,LAO,2017,67.345,,,0
"Life expectancy at birth, total (years)",Lao PDR,LAO,2016,67.014,,,0
"Life expectancy at birth, total (years)",Lao PDR,LAO,2015,66.688,,,0
"Life expectancy at birth, total (years)",Lao PDR,LAO,2014,66.35,,,0
"Life expectancy at birth, total (years)",Lao PDR,LAO,2013,65.723,,,0
"Life expectancy at birth, total (years)",Lao PDR,LAO,2012,65.126,,,0
"Life expectancy at birth, total (years)",Lao PDR,LAO,2011,64.505,,,0
"Life expectancy at birth, total (years)",Lao PDR,LAO,2010,63.69,,,0
"Life expectancy at birth, total (years)",Lao PDR,LAO,2009,63.023,,,0
"Life expectancy at birth, total (years)",Lao PDR,LAO,2008,62.248,,,0
"Life expectancy at birth, total (years)",Lao PDR,LAO,2007,61.694,,,0
"Life expectancy at birth, total (years)",Lao PDR,LAO,2006,61.074,,,0
"Life expectancy at birth, total (years)",Lao PDR,LAO,2005,60.688,,,0
"Life expectancy at birth, total (years)",Lao PDR,LAO,2004,60.08,,,0
"Life expectancy at birth, total (years)",Lao PDR,LAO,2003,59.643,,,0
"Life expectancy at birth, total (years)",Lao PDR,LAO,2002,59.302,,,0
"Life expectancy at birth, total (years)",Lao PDR,LAO,2001,58.887,,,0
"Life expectancy at birth, total (years)",Lao PDR,LAO,2000,58.317,,,0
"Life expectancy at birth, total (years)",Lao PDR,LAO,1999,57.866,,,0
"Life expectancy at birth, total (years)",Lao PDR,LAO,1998,57.549,,,0
"Life expectancy at birth, total (years)",Lao PDR,LAO,1997,57.302,,,0
"Life expectancy at birth, total (years)",Lao PDR,LAO,1996,56.821,,,0
"Life expectancy at birth, total (years)",Lao PDR,LAO,1995,56.344,,,0
"Life expectancy at birth, total (years)",Lao PDR,LAO,1994,55.81,,,0
"Life expectancy at birth, total (years)",Lao PDR,LAO,1993,55.583,,,0
"Life expectancy at birth, total (years)",Lao PDR,LAO,1992,55.098,,,0
"Life expectancy at birth, total (years)",Lao PDR,LAO,1991,54.7,,,0
"Life expectancy at birth, total (years)",Lao PDR,LAO,1990,54.035,,,0
"Life expectancy at birth, total (years)",Lao PDR,LAO,1989,53.589,,,0
"Life expectancy at birth, total (years)",Lao PDR,LAO,1988,53.077,,,0
"Life expectancy at birth, total (years)",Lao PDR,LAO,1987,52.597,,,0
"Life expectancy at birth, total (years)",Lao PDR,LAO,1986,52.144,,,0
"Life expectancy at birth, total (years)",Lao PDR,LAO,1985,51.579,,,0
"Life expectancy at birth, total (years)",Lao PDR,LAO,1984,51.014,,,0
"Life expectancy at birth, total (years)",Lao PDR,LAO,1983,50.485,,,0
"Life expectancy at birth, total (years)",Lao PDR,LAO,1982,49.931,,,0
"Life expectancy at birth, total (years)",Lao PDR,LAO,1981,49.237,,,0
"Life expectancy at birth, total (years)",Lao PDR,LAO,1980,48.56,,,0
"Life expectancy at birth, total (years)",Lao PDR,LAO,1979,47.46,,,0
"Life expectancy at birth, total (years)",Lao PDR,LAO,1978,46.832,,,0
"Life expectancy at birth, total (years)",Lao PDR,LAO,1977,46.408,,,0
"Life expectancy at birth, total (years)",Lao PDR,LAO,1976,46.012,,,0
"Life expectancy at birth, total (years)",Lao PDR,LAO,1975,46.15,,,0
"Life expectancy at birth, total (years)",Lao PDR,LAO,1974,45.886,,,0
"Life expectancy at birth, total (years)",Lao PDR,LAO,1973,44.728,,,0
"Life expectancy at birth, total (years)",Lao PDR,LAO,1972,44.416,,,0
"Life expectancy at birth, total (years)",Lao PDR,LAO,1971,44.122,,,0
"Life expectancy at birth, total (years)",Lao PDR,LAO,1970,43.776,,,0
"Life expectancy at birth, total (years)",Lao PDR,LAO,1969,43.46,,,0
"Life expectancy at birth, total (years)",Lao PDR,LAO,1968,43.183,,,0
"Life expectancy at birth, total (years)",Lao PDR,LAO,1967,42.869,,,0
"Life expectancy at birth, total (years)",Lao PDR,LAO,1966,42.347,,,0
"Life expectancy at birth, total (years)",Lao PDR,LAO,1965,42.222,,,0
"Life expectancy at birth, total (years)",Lao PDR,LAO,1964,41.859,,,0
"Life expectancy at birth, total (years)",Lao PDR,LAO,1963,41.544,,,0
"Life expectancy at birth, total (years)",Lao PDR,LAO,1962,42.272,,,0
"Life expectancy at birth, total (years)",Lao PDR,LAO,1961,41.344,,,0
"Life expectancy at birth, total (years)",Lao PDR,LAO,1960,41.036,,,0
"Life expectancy at birth, total (years)",Myanmar,MMR,2024,,,,0
"Life expectancy at birth, total (years)",Myanmar,MMR,2023,66.889,,,0
"Life expectancy at birth, total (years)",Myanmar,MMR,2022,66.506,,,0
"Life expectancy at birth, total (years)",Myanmar,MMR,2021,65.553,,,0
"Life expectancy at birth, total (years)",Myanmar,MMR,2020,66.612,,,0
"Life expectancy at birth, total (years)",Myanmar,MMR,2019,66.457,,,0
"Life expectancy at birth, total (years)",Myanmar,MMR,2018,66.232,,,0
"Life expectancy at birth, total (years)",Myanmar,MMR,2017,65.909,,,0
"Life expectancy at birth, total (years)",Myanmar,MMR,2016,65.64,,,0
"Life expectancy at birth, total (years)",Myanmar,MMR,2015,65.288,,,0
"Life expectancy at birth, total (years)",Myanmar,MMR,2014,64.994,,,0
"Life expectancy at birth, total (years)",Myanmar,MMR,2013,64.617,,,0
"Life expectancy at birth, total (years)",Myanmar,MMR,2012,64.251,,,0
"Life expectancy at birth, total (years)",Myanmar,MMR,2011,63.859,,,0
"Life expectancy at birth, total (years)",Myanmar,MMR,2010,63.479,,,0
"Life expectancy at birth, total (years)",Myanmar,MMR,2009,63.095,,,0
"Life expectancy at birth, total (years)",Myanmar,MMR,2008,56.364,,,0
"Life expectancy at birth, total (years)",Myanmar,MMR,2007,62.367,,,0
"Life expectancy at birth, total (years)",Myanmar,MMR,2006,62.026,,,0
"Life expectancy at birth, total (years)",Myanmar,MMR,2005,61.72,,,0
"Life expectancy at birth, total (years)",Myanmar,MMR,2004,61.443,,,0
"Life expectancy at birth, total (years)",Myanmar,MMR,2003,61.196,,,0
"Life expectancy at birth, total (years)",Myanmar,MMR,2002,60.925,,,0
"Life expectancy at birth, total (years)",Myanmar,MMR,2001,60.64,,,0
"Life expectancy at birth, total (years)",Myanmar,MMR,2000,60.357,,,0
"Life expectancy at birth, total (years)",Myanmar,MMR,1999,60.107,,,0
"Life expectancy at birth, total (years)",Myanmar,MMR,1998,59.896,,,0
"Life expectancy at birth, total (years)",Myanmar,MMR,1997,59.523,,,0
"Life expectancy at birth, total (years)",Myanmar,MMR,1996,59.169,,,0
"Life expectancy at birth, total (years)",Myanmar,MMR,1995,58.671,,,0
"Life expectancy at birth, total (years)",Myanmar,MMR,1994,58.326,,,0
"Life expectancy at birth, total (years)",Myanmar,MMR,1993,58.032,,,0
"Life expectancy at birth, total (years)",Myanmar,MMR,1992,57.681,,,0
"Life expectancy at birth, total (years)",Myanmar,MMR,1991,57.395,,,0
"Life expectancy at birth, total (years)",Myanmar,MMR,1990,57.159,,,0
"Life expectancy at birth, total (years)",Myanmar,MMR,1989,56.889,,,0
"Life expectancy at birth, total (years)",Myanmar,MMR,1988,56.57,,,0
"Life expectancy at birth, total (years)",Myanmar,MMR,1987,56.353,,,0
"Life expectancy at birth, total (years)",Myanmar,MMR,1986,56.084,,,0
"Life expectancy at birth, total (years)",Myanmar,MMR,1985,55.816,,,0
"Life expectancy at birth, total (years)",Myanmar,MMR,1984,55.596,,,0
"Life expectancy at birth, total (years)",Myanmar,MMR,1983,55.308,,,0
"Life expectancy at birth, total (years)",Myanmar,MMR,1982,55.033,,,0
"Life expectancy at birth, total (years)",Myanmar,MMR,1981,54.699,,,0
"Life expectancy at birth, total (years)",Myanmar,MMR,1980,54.374,,,0
"Life expectancy at birth, total (years)",Myanmar,MMR,1979,54.026,,,0
